País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido
,,,Hradec Kralove vs Olomoucko,92-77,Finished,https://www.flashscore.com/match/basketball/bk-olomoucko-fXnv6Lwb/hradec-kralove-MoK69gqr/?mid=MeYRgnv9
,,,Nymburk vs Brno,92-60,Finished,https://www.flashscore.com/match/basketball/brno-byOWrbWp/nymburk-C8cZ61Oi/?mid=C26TfYN9
,,,Usti n. Labem vs Decin,78-70,Finished,https://www.flashscore.com/match/basketball/decin-8zir5ug4/usti-nad-labem-2cjn4a8A/?mid=lUYzkrzi
,,,Team FOG Naestved vs Horsens,100-77,Finished,https://www.flashscore.com/match/basketball/horsens-d4FzmOm8/naestved-vglvV23R/?mid=SpWsxrs4
,,,Jahorina vs TFT Skopje,92-84,Finished,https://www.flashscore.com/match/basketball/jahorina-jVUJYNwC/tft-skopje-KtNtti8O/?mid=dl3XzsDT
,,,Zlatibor vs Mornar Bar,113-71,Finished,https://www.flashscore.com/match/basketball/mornar-bar-0nP2jBEO/zlatibor-cajetina-MNkEduOE/?mid=ILMeyBO9
,,,Apolonia Fier vs Vllaznia,89-62,Finished,https://www.flashscore.com/match/basketball/apolonia-fier-4OYbRHEg/vllaznia-shkodra-Gv6YvL3d/?mid=dz10xT5m
,,,Teuta Durres vs Beselidhja,80-87,Finished,https://www.flashscore.com/match/basketball/beselidhja-jcye3lVm/teuta-durres-fTc2ERfB/?mid=n1FUskrQ
,,,Hradec Kralove W vs Slavia Banska Bystrica W,84-79,Finished,https://www.flashscore.com/match/basketball/hradec-kralove-n9AzuvPf/slavia-banska-bystrica-4llAK2zr/?mid=lrZwuJn8
,,,MBK Ruzomberok W vs Ostrava W,74-77,Finished,https://www.flashscore.com/match/basketball/ostrava-xvSJCWGO/ruzomberok-hbxgTaWf/?mid=d8xnwcHK
,,,Kouvot Kouvola vs Bisons Loimaa,76-74,Finished,https://www.flashscore.com/match/basketball/bisons-loimaa-6gG6hHRP/kouvot-kouvola-Kn6Y5USB/?mid=pMTHRHAT
,,,Pyrinto Akatemia vs Raholan Pyrkiva,51-62,Finished,https://www.flashscore.com/match/basketball/pyrinto-akatemia-A9VLCUoR/raholan-pyrkiva-WUgQMShe/?mid=vwj51BMP
,,,SCAA vs Winling,74-65,Finished,https://www.flashscore.com/match/basketball/scaa-IcynGmQb/winling-f7AXHini/?mid=Sh2n5Aln
,,,Hong Kong Eastern vs Tycoon BC,77-86,Finished,https://www.flashscore.com/match/basketball/hong-kong-eastern-zis1MZ8M/tycoon-bc-dvgNwDHb/?mid=hEI11SmB
,,,Budapesti Honved Se vs Zalakeramia,100-61,Finished,https://www.flashscore.com/match/basketball/budapesti-honved-se-MkCH5pB4/zalakeramia-WOShPMhB/?mid=OtK2bd1N
,,,ChelSU Kostanay vs BC Almaty 2,78-105,Finished,https://www.flashscore.com/match/basketball/bc-almaty-z1dSXAvq/chelsu-kostanay-6a09oQdH/?mid=dbeKn5n2
,,,Tobol Kostanay 2 vs CHAMP1ON,86-92,Finished,https://www.flashscore.com/match/basketball/champ1on-IPl5FQX8/tobol-kostanay-QuYch23D/?mid=2er6A8v9
,,,Okzhetpes W vs Pavlodar W,64-53,Finished,https://www.flashscore.com/match/basketball/okzhetpes-kokshetay-4E1OSAmg/pavlodar-tI3hFkR1/?mid=hYTlHFQp
,,,Bashkimi vs Vellaznimi,90-79,Finished,https://www.flashscore.com/match/basketball/bashkimi-2wcCMeIg/vellaznimi-2gXKk6Bd/?mid=rBnlx0C4
,,,Sigal Prishtina vs Golden Eagle Ylli,80-82,Finished,https://www.flashscore.com/match/basketball/golden-eagle-ylli-O2YGjndj/sigal-prishtina-8bndiDwJ/?mid=ANw5YHBT
,,,Chabeb Batroun vs Champville,---,Postponed,https://www.flashscore.com/match/basketball/chabeb-batroun-tzO79csH/champville-zm3XxLiO/?mid=6ceNKB2l
,,,Alytaus Alytus vs BC Olimpas Palanga,97-83,Finished,https://www.flashscore.com/match/basketball/alytaus-alytus-vaczuJFj/olimpas-palanga-OKBOcRU9/?mid=8vQV1HFE
,,,Plunges Olimpas vs Silute,98-93,Finished,https://www.flashscore.com/match/basketball/plunges-olimpas-rTB4puhT/silute-MmmU7K6n/?mid=fHZytzge
,,,Jurbarkas vs Neptunas 2,69-63,Finished,https://www.flashscore.com/match/basketball/jurbarkas-Qg4acK02/neptunas-ANWwRQFl/?mid=4rXGhDx1
,,,Ukmerges Stekas vs Omega-Tauras,83-87,Finished,https://www.flashscore.com/match/basketball/omega-tauras-f1xDBHjS/ukmerges-stekas-MLLsvJoR/?mid=xdVOji7D
,,,Mazeikiai vs Telsiai,74-86,Finished,https://www.flashscore.com/match/basketball/mazeikiai-zctksqpt/telsiai-IHmmS3rt/?mid=CzF9fZ7l
,,,Vilkaviskis vs Suduva-Mantinga,78-76,Finished,https://www.flashscore.com/match/basketball/suduva-mantinga-8jMVH3yH/vilkaviskis-lOX4i4lJ/?mid=tYXqvEN7
,,,Zalgiris Kaunas 2 vs Rytas 2,79-58,Finished,https://www.flashscore.com/match/basketball/bc-rytas-8SFkzxR1/zalgiris-kaunas-4YkaP1Sb/?mid=thOw0epR
,,,Kedainiu SC vs Vytis VDU,87-89,Finished,https://www.flashscore.com/match/basketball/kedainiu-sc-UB8E6q0K/vytis-vdu-p4y93QcC/?mid=2ynzb8Et
,,,Toros Laguna vs Zonkeys de Tijuana,61-62,Finished,https://www.flashscore.com/match/basketball/toros-laguna-AHfdXdCT/zonkeys-de-tijuana-4AyvPRIb/?mid=CSl2dGL0
,,,Angeles CDMX vs Halcones de Obregon,75-80,Finished,https://www.flashscore.com/match/basketball/angeles-cdmx-8pvK0jqi/halcones-de-ciudad-obregon-rFTYJEzo/?mid=UHfJQExn
,,,Pioneros de Los Mochis vs Caballeros de Culiacan,107-98,Finished,https://www.flashscore.com/match/basketball/caballeros-de-culiacan-nmvJ3raM/pioneros-de-los-mochis-EFZFUHVH/?mid=40GDBX8E
,,,Venados de Mazatlan vs Rayos de Hermosillo,76-83,Finished,https://www.flashscore.com/match/basketball/rayos-de-hermosillo-d6VmLqUd/venados-de-mazatlan-MXIp9cCF/?mid=SdQTyquA
,,,Limburg W vs TopKip Lions W,61-76,Finished,https://www.flashscore.com/match/basketball/limburg-48g2s3IR/topkip-lions-Crg0sX2t/?mid=EBAZ9JvB
,,,Baerum W vs Ammerud W,80-59,Finished,https://www.flashscore.com/match/basketball/ammerud-ng5nKees/baerum-ruNDLb2f/?mid=bFM6kKAU
,,,Czarni Slupsk vs Torun,103-93,After Overtime,https://www.flashscore.com/match/basketball/czarni-slupsk-ziCPVUZB/torun-v3KjOOa7/?mid=KSPLb8W9
,,,Slask Wroclaw vs Dabrowa Gornicza,95-90,Finished,https://www.flashscore.com/match/basketball/dabrowa-gornicza-Qy6k31iJ/slask-wroclaw-AJa8Xj5a/?mid=CQ40iQOq
,,,Zielona Gora vs Szczecin,74-75,Finished,https://www.flashscore.com/match/basketball/king-wilki-morskie-szczecin-0z2ezyQN/zielona-gora-r1BJiCyi/?mid=SK7E0U1c
,,,Al-Rayyan vs Al Ahli,---,Postponed,https://www.flashscore.com/match/basketball/al-ahli-doha-0lagsCxd/al-rayyan-0lYoTek7/?mid=p8XPgt4T
,,,Al Arabi vs Al Sadd,---,Postponed,https://www.flashscore.com/match/basketball/al-arabi-YcXGkeE0/al-sadd-n1yLlFT6/?mid=fiSvb0ak
,,,Petrolul Ploiesti vs Voluntari,94-97,Finished,https://www.flashscore.com/match/basketball/petrolul-ploiesti-GpQCIV9n/voluntari-AHJ6YUBa/?mid=jqvYc8jK
,,,Neftyanik Omsk W vs Novosibirsk W,75-80,Finished,https://www.flashscore.com/match/basketball/dynamo-novosibirsk-region-AykT1fF7/neftyanik-omsk-O4kD2lzE/?mid=GYS8ikCm
,,,Slovan Bratislava vs Nitra Blue Wings,85-65,Finished,https://www.flashscore.com/match/basketball/nitra-blue-wings-j3xf8RT6/slovan-bratislava-MwDN9uI9/?mid=K2z60Ilf
