matchId,eventTime,homeTeam,awayTeam,homeScore,awayScore,homeScore1,homeScore2,homeScore3,homeScore4,homeScore5,awayScore1,awayScore2,awayScore3,awayScore4,awayScore5,matchLink
g_3_lpHlCZH0,14.12. 17:00,Basket Napoli,Cremona,102,76,20,34,21,27,,17,18,22,19,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/cremona-vZoLXHUj/?mid=lpHlCZH0
g_3_YD4HDRy8,14.12. 16:00,Brescia,Varese,102,94,29,21,25,27,,18,29,18,29,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/varese-4hrT8BJq/?mid=YD4HDRy8
g_3_lMY1LweE,14.12. 15:30AOT,Tortona,Sassari,118,113,27,20,22,19,30,15,17,27,29,25,https://www.flashscore.com/match/basketball/derthona-tortona-0OZBANVT/sassari-CQMh2ve4/?mid=lMY1LweE
g_3_nNkybmiD,14.12. 11:00,Trapani,Udine,91,73,20,26,24,21,,20,13,19,21,,https://www.flashscore.com/match/basketball/trapani-xxXaWq1q/udine-42obriQL/?mid=nNkybmiD
g_3_b1JgGU6s,13.12. 19:00,Trento,Venezia,96,90,20,17,33,26,,17,33,17,23,,https://www.flashscore.com/match/basketball/trento-ITNxcZJl/venezia-nR1rGe9M/?mid=b1JgGU6s
g_3_MZW9JHPQ,13.12. 17:15AOT,Trieste,Reggiana,92,82,16,21,20,18,17,24,19,19,13,7,https://www.flashscore.com/match/basketball/pallacanestro-trieste-f7SJ0Orj/reggiana-4IvWGyfG/?mid=MZW9JHPQ
g_3_KfWR1Vil,08.12. 17:30,Virtus Bologna,Tortona,92,77,20,28,32,12,,20,15,22,20,,https://www.flashscore.com/match/basketball/derthona-tortona-0OZBANVT/virtus-bologna-YwDFycYd/?mid=KfWR1Vil
g_3_bZpTZHhA,08.12. 16:30,Cremona,Varese,79,87,17,22,24,16,,22,17,18,30,,https://www.flashscore.com/match/basketball/cremona-vZoLXHUj/varese-4hrT8BJq/?mid=bZpTZHhA
g_3_Sh19Jd8T,07.12. 18:00,Treviso,Trapani,82,89,26,13,22,21,,19,28,22,20,,https://www.flashscore.com/match/basketball/trapani-xxXaWq1q/treviso-SGAOCDed/?mid=Sh19Jd8T
g_3_vcnTa9M0,07.12. 17:00,Olimpia Milano,Trento,94,90,26,26,16,26,,23,25,25,17,,https://www.flashscore.com/match/basketball/milan-tUT82gR9/trento-ITNxcZJl/?mid=vcnTa9M0
g_3_nwrtEzWj,07.12. 16:00,Venezia,Cantu,101,95,36,25,23,17,,26,25,14,30,,https://www.flashscore.com/match/basketball/cantu-4jexwVmq/venezia-nR1rGe9M/?mid=nwrtEzWj
g_3_Qm19Fm7e,07.12. 15:00,Udine,Basket Napoli,78,71,27,14,22,15,,21,18,16,16,,https://www.flashscore.com/match/basketball/basket-napoli-CMsg9VYk/udine-42obriQL/?mid=Qm19Fm7e
g_3_4YC0H9xq,06.12. 19:30,Reggiana,Brescia,87,93,29,17,20,21,,25,26,20,22,,https://www.flashscore.com/match/basketball/brescia-AcIKtbth/reggiana-4IvWGyfG/?mid=4YC0H9xq
g_3_vXURyvOc,06.12. 19:00,Sassari,Trieste,85,80,30,14,25,16,,17,20,21,22,,https://www.flashscore.com/match/basketball/pallacanestro-trieste-f7SJ0Orj/sassari-CQMh2ve4/?mid=vXURyvOc
