País,Liga,Link Liga,Partido,Resultado,Estado,Link Partido,Hora
PHILIPPINES,PBA Commissioner's Cup,https://www.flashscore.com/basketball/philippines/pba-commissioner-s-cup/,Macau Black Bears vs Blackwater Bossing,123-119,Finalizado,https://www.flashscore.com/match/basketball/blackwater-bossing-bT29COrg/macau-black-knights-CSvLom7L/?mid=SWYvlxID,
PHILIPPINES,PBA Commissioner's Cup,https://www.flashscore.com/basketball/philippines/pba-commissioner-s-cup/,Meralco Bolts vs San Miguel Beermen,92-103,Finalizado,https://www.flashscore.com/match/basketball/meralco-bolts-dvbIr6vl/san-miguel-beermen-Gx2SUJf8/?mid=fwDOelyK,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Quezon City vs Marikina Shoemasters,85-79,Finalizado,https://www.flashscore.com/match/basketball/marikina-shoemasters-UwbBlp0n/quezon-city-C8IB6SnS/?mid=Sbm3lXEa,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,GenSan Warriors vs Bacolod Masskara,108-77,Finalizado,https://www.flashscore.com/match/basketball/bacolod-masskara-8ntpTDd4/gensan-warriors-pQRbnmgL/?mid=zPjBnBqC,
PHILIPPINES,MPBL,https://www.flashscore.com/basketball/philippines/mpbl/,Pasay Voyagers vs Bataan Risers,93-78,Finalizado,https://www.flashscore.com/match/basketball/bataan-risers-WUAhvteE/pasay-voyagers-bkWLThcj/?mid=tMgJpkEO,
POLAND,Basket Liga,https://www.flashscore.com/basketball/poland/basket-liga/,Torun vs Slask Wroclaw,113-106,Finalizado,https://www.flashscore.com/match/basketball/slask-wroclaw-AJa8Xj5a/torun-v3KjOOa7/?mid=WQPgs12S,
PUERTO RICO,BSN,https://www.flashscore.com/basketball/puerto-rico/bsn/,Criollos de Caguas vs Vaqueros de Bayamon,96-90,Finalizado,https://www.flashscore.com/match/basketball/criollos-de-caguas-jDuRPrg3/vaqueros-de-bayamon-GxiT54i9/?mid=bXEclzll,
ROMANIA,Divizia A - Play Offs,https://www.flashscore.com/basketball/romania/divizia-a/,Voluntari vs SCM Craiova,95-86,Finalizado,https://www.flashscore.com/match/basketball/scm-craiova-WvPNNobr/voluntari-AHJ6YUBa/?mid=lEwe7cCt,
RUSSIA,VTB United League - Play Offs,https://www.flashscore.com/basketball/russia/vtb-united-league/,Unics Kazan vs MBA Moscow,83-63,Finalizado,https://www.flashscore.com/match/basketball/mba-moscow-SdfN5jWe/unics-kazan-rTWGEhHR/?mid=prAhuJKa,
RUSSIA,VTB United League - Play Offs,https://www.flashscore.com/basketball/russia/vtb-united-league/,Zenit Petersburg vs Uralmash Ekaterinburg,92-64,Finalizado,https://www.flashscore.com/match/basketball/uralmash-ekaterinburg-vDLOnJ58/zenit-petersburg-z3T8GEnF/?mid=tnLEn1SP,
RUSSIA,Super League - Play Offs,https://www.flashscore.com/basketball/russia/super-league/,Khimki M. vs Dynamo Grozny,101-61,Finalizado,https://www.flashscore.com/match/basketball/dynamo-grozny-ri4ufPu7/khimki-m-Igatxk3k/?mid=G03X2UUN,
RUSSIA,Super League - 5th-8th places,https://www.flashscore.com/basketball/russia/super-league/,University-Ugra vs Temp Sumz Revda,84-87,Finalizado,https://www.flashscore.com/match/basketball/temp-sumz-revda-QLkYNejI/university-ugra-0AMHbjuF/?mid=2Deo2EBm,
RUSSIA,Super League - 5th-8th places,https://www.flashscore.com/basketball/russia/super-league/,Ufa vs Dynamo Vladivostok,66-78,Finalizado,https://www.flashscore.com/match/basketball/dynamo-vladivostok-ARo8fcah/ufa-MNpepecp/?mid=Awag0ht0,
SLOVENIA,Liga OTP banka,https://www.flashscore.com/basketball/slovenia/liga-otp-banka/,Perspektiva Ilirija vs Polzela,103-87,Finalizado,https://www.flashscore.com/match/basketball/ilirija-fNfJBWiR/polzela-CzS0zZTm/?mid=zZRR8oml,
